,MW,SLogP,nHBDon,nHBAcc,TopoPSA,nRot,naRing,QED
2024,442.98827628400034,6.5199000000000025,1,3,59.3,4,4,0.36449722931920986
2025,477.19315281600086,4.978940000000005,1,7,85.94999999999999,5,4,0.43601220150440606
2026,456.2525262640009,4.520780000000004,1,4,76.44,4,2,0.733884393486183
2027,454.23687620000084,5.198480000000005,1,4,78.13,4,3,0.5886229508208076
2028,486.0594192680004,6.631300000000003,2,4,92.43,5,4,0.33003368325805976
2030,603.1262611560006,4.226100000000002,3,6,133.84,9,3,0.314742878677667
2032,572.263484872001,4.371000000000003,2,7,121.3,11,3,0.3475474811752456
2035,426.12494280400057,2.8516000000000004,2,5,116.1,8,3,0.5758843571332758
2036,427.01782682400034,6.005600000000002,1,3,59.3,4,4,0.4055301678897693
2037,375.0662209880004,5.213100000000003,1,3,59.3,4,4,0.4977428301684147
2038,425.06302742800034,5.799720000000003,1,3,59.3,4,4,0.4202546052178427
2039,550.0797255640005,4.8457000000000034,3,4,117.87,7,3,0.36580712383234976
2040,500.2423555040009,4.136000000000003,1,6,84.0,7,3,0.525167308890784
2042,427.01782682400034,6.005600000000002,1,3,59.3,4,4,0.4055301678897693
2044,486.0594192680004,6.631300000000003,2,4,92.43,5,4,0.33003368325805976
2045,411.04737736400034,5.491300000000003,1,3,59.3,4,4,0.4515195595132923
2046,456.2525262640009,4.520780000000004,1,4,76.44,4,2,0.7338843934861833
2047,500.07506933200045,6.309000000000004,2,4,92.43,6,4,0.3235211931866791
2048,445.0084050120003,6.144700000000002,1,3,59.3,4,4,0.38313471238423685
2049,552.0589901200003,5.655000000000003,2,5,117.92,7,3,0.223598344294862
2050,425.02216325600034,5.572100000000003,2,4,79.53,4,4,0.4182981781671348
2053,465.14553392800065,4.407000000000003,1,5,80.76,6,3,0.5829620451083428
2054,452.2587545160009,4.312740000000003,1,4,65.54,5,2,0.7341706877077682
2055,445.0084050120003,6.144700000000002,1,3,59.3,4,4,0.38313471238423685
2059,470.26817632800095,4.909280000000004,1,4,76.44,4,2,0.6889200327154278
2060,511.2507296720009,3.461540000000002,1,7,95.73,5,3,0.5638311073669929
2061,486.0594192680004,6.631300000000003,2,4,92.42999999999999,5,4,0.33003368325805976
2062,479.1724173720008,4.110140000000003,1,8,95.17999999999999,7,4,0.42582644405627906
2063,585.0514622160006,5.150300000000004,2,5,117.3,7,3,0.37392351433093685
2064,442.23687620000084,4.354280000000004,1,4,76.44,4,2,0.7635881584777318
2066,481.1124055960005,5.086700000000004,2,4,75.63000000000001,7,2,0.4270935382503436
2067,579.2224022560009,4.427220000000004,1,7,83.72,6,3,0.4652847332342207
2068,552.0589901200003,5.655000000000003,2,5,117.92,7,3,0.223598344294862
2069,442.98827628400034,6.5199000000000025,1,3,59.3,4,4,0.36449722931920986
2070,564.0953756280005,5.106400000000004,3,4,103.88,7,3,0.3480583852747706
2071,442.98827628400034,6.5199000000000025,1,3,59.3,4,4,0.36449722931920986
2072,486.1178253240005,5.568300000000004,3,3,75.35000000000001,5,3,0.32625568616566586
2073,477.01463326400034,6.8853000000000035,1,3,59.3,4,4,0.3253831200249909
2075,526.0997120600005,3.6083000000000016,3,5,120.95,7,2,0.47759670728196996
2076,483.26342529600095,5.054980000000004,2,4,88.47,4,2,0.6366252004987009
2078,465.2991421080011,4.294500000000004,1,4,61.88,5,1,0.7045876340373796
2079,540.1984400040008,4.635900000000004,1,6,84.0,6,3,0.4908584943506762
2082,488.0750693320004,6.696700000000004,3,5,95.59,6,4,0.2794459655730773
2083,555.1707031200009,3.688640000000003,1,9,128.46999999999997,6,4,0.3823183653459183
2085,407.07244924000037,5.660620000000003,1,3,59.3,4,4,0.4438478193115359
2086,627.1835721360009,6.411020000000004,1,7,76.3,6,4,0.24912257136818433
2088,542.1220195240006,7.888400000000006,1,5,81.42999999999999,5,4,0.2592843035712142
2089,542.0946266800006,3.8282000000000016,3,6,130.18,7,2,0.4576357021781374
2090,563.2023355080009,4.125720000000004,1,9,94.11999999999999,6,4,0.3769540196388618
2091,588.1153621240005,4.902200000000004,3,5,120.95,8,3,0.3243045389132781
2092,482.26817632800095,5.053380000000005,1,4,76.44,4,2,0.6614106642470138
2093,516.0920045000004,5.894300000000003,2,4,92.47,6,3,0.24272419676025828
2094,423.0428987000004,6.174920000000004,1,3,59.3,4,4,0.39851323418094603
2095,462.05941926800034,6.584100000000003,2,5,88.5,6,4,0.3360686737386504
2096,604.1215101240007,3.621100000000001,3,7,146.73,9,3,0.31740382692130875
2097,458.26817632800095,4.495020000000004,1,4,65.54,4,2,0.7329681555915875
2098,483.23827316800083,3.339940000000002,1,7,95.73,5,4,0.4678465837102007
2099,301.0963599720003,3.148060000000002,0,6,91.43,3,3,0.7406520278229645
2103,542.200858288001,4.552440000000004,1,8,89.18999999999998,6,4,0.382096145015728
2104,467.09675553200043,4.696600000000004,2,4,75.63000000000001,6,2,0.4774226966141075
2106,489.285223360001,3.5247600000000023,1,7,95.73,5,3,0.5891904255956122
2107,449.2539232320009,2.6821400000000004,1,7,95.73,5,3,0.643479438317167
2108,465.19315281600086,4.519840000000004,1,7,85.94999999999999,6,4,0.4502440511854948
2109,468.2525262640009,4.663280000000004,1,4,76.44,4,2,0.7079264088368203
2110,616.1466622520006,5.221200000000005,3,5,120.95,10,3,0.2706422006796399
2111,491.13358725200067,4.426140000000004,1,7,85.94999999999999,5,4,0.44441302415768397
2112,454.23687620000084,4.2731800000000035,1,4,76.44,4,2,0.7484666380605202
2114,572.1970580120008,4.882640000000004,1,7,101.72000000000001,6,3,0.4227769929112926
