,IC50_nM
1178,5000.0
1179,47.0
1180,292.0
1181,177.0
1182,9200.0
1183,293.0
1184,378.0
1185,110.0
1186,102.0
1187,225.0
1188,106.0
1189,323.0
1190,79.0
1191,111.0
1192,245.0
1193,687.0
1194,108.0
1195,330.0
1196,2816.0
1197,32.0
1198,231.0
1199,396.0
1200,80.0
1202,58.0
1203,10000.0
1204,2500.0
1205,98.0
1206,102.0
1207,73.0
1208,370.0
1209,39.0
1210,138.0
1211,100.0
1212,323.0
1213,40.0
1214,76.0
1215,75.0
1216,2500.0
1217,3918.0
1218,33.0
1219,171.0
1220,34.0
1221,166.0
1222,129.0
1223,111.0
1224,54.0
1225,500.0
1226,157.0
1227,1186.0
1228,2452.0
1229,113.0
1230,195.0
1231,134.0
1232,18.0
1233,456.0
1234,4000.0
1235,143.0
1236,79.0
1237,27.0
1238,1700.0
1239,10000.0
1240,71.0
1241,17.0
1242,470.0
1243,35.0
1244,281.0
1245,119.0
1246,44.0
1247,10000.0
1248,72.0
1249,1100.0
1250,240.0
1251,47.0
1252,79.0
1253,10000.0
1254,72.0
1255,471.0
1256,59.0
1257,13.0
1258,520.0
1259,49.0
1260,27.0
1261,35.0
1262,39.0
1263,44.0
1264,32.0
1265,44.0
1266,1449.0
1267,625.0
1268,71.0
1269,100.0
1270,71.0
1271,166.0
1272,110.0
1273,77.0
1274,410.0
1275,6000.0
1276,1283.0
1277,106.0
1278,90.0
1279,57.0
1280,172.0
1281,10000.0
1283,52.0
1284,33.0
1285,171.0
1286,75.0
1287,279.0
1288,6000.0
1289,6.6
1290,35.0
1291,88.0
1292,64.0
1293,2100.0
1294,49.0
1295,56.0
1296,66.0
1297,4222.0
1298,78.0
1299,24.0
1300,44.0
1301,140.0
1302,148.0
1303,75.0
1304,460.0
1305,91.0
1306,15.0
1307,125.0
1308,81.0
1309,66.0
1310,111.0
1311,1947.0
1312,485.0
1313,175.0
1314,934.0
1315,920.0
1316,503.0
1317,110.0
1318,939.0
1319,810.0
1320,188.0
1321,103.0
1322,66.0
1323,28.0
1324,47.0
1325,927.0
1326,150.0
1327,10000.0
1328,898.0
1329,4.0
1330,194.0
1331,365.0
1332,1288.0
1333,2100.0
1334,262.0
1335,87.0
1336,1800.0
1337,111.0
1338,66.0
1339,3700.0
1341,234.0
1342,169.0
1343,103.0
1344,707.0
1345,216.0
1346,95.0
1347,221.0
1348,99.0
1350,122.0
1351,4700.0
1352,38.0
1353,169.0
1354,760.0
1355,55.0
1356,187.0
1357,133.0
1358,16.0
1359,10000.0
1360,185.0
1361,31.0
1362,140.0
1363,174.0
1364,74.0
1365,196.0
1366,165.0
1367,72.0
1368,161.0
1369,135.0
1370,175.0
1371,590.0
1372,184.0
1373,254.0
1374,101.0
1375,82.0
1376,700.0
1377,155.0
1378,3200.0
1379,55.0
1380,151.0
1381,95.0
1382,925.0
1383,302.0
1384,280.0
1385,131.0
1386,674.0
1387,173.0
1389,206.0
1390,168.0
1391,141.0
1392,157.0
1393,89.0
1394,174.0
1395,311.0
1396,1344.0
1397,2753.0
1398,141.0
1399,267.0
1400,115.0
1401,60.0
1403,930.0
1404,606.0
1405,28.0
1406,690.0
1407,95.0
1408,67.0
1409,25.0
1410,45.0
1411,40.0
1412,615.0
1413,571.0
1416,152.0
1417,208.0
1418,785.0
